name,gb,gddr,price,link
PNY GeForce RTX 3050 XLR8 Gaming REVEL EPIC-X RGB Dual Fan Edition 8GB GDDR6,8,GDDR6,616.26,https://www.pccomponentes.com/pny-geforce-rtx-3050-xlr8-gaming-revel-epic-x-rgb-dual-fan-edition-8gb-gddr6
MSI AMD Radeon RX 6600 XT MECH 2X OC 8GB GDDR6,8,GDDR6,523.29,https://www.pccomponentes.com/msi-amd-radeon-rx-6600-xt-mech-2x-oc-8gb-gddr6
Gigabyte GeForce GT 1030 Low Profile D4 2GB GDDR4,2,GDDR4,113.61,https://www.pccomponentes.com/gigabyte-geforce-gt-1030-low-profile-d4-2gb-gddr4
Sapphire NITRO+ AMD Radeon RX 6700 XT GAMING OC 12GB GDDR6,12,GDDR6,793.4,https://www.pccomponentes.com/sapphire-nitro-amd-radeon-rx-6700-xt-gaming-oc-12gb-gddr6
Gigabyte GeForce GTX 1650 OC Low Profile 4GB GDDR5,4,GDDR5,250.15,https://www.pccomponentes.com/gigabyte-geforce-gtx-1650-oc-low-profile-4gb-gddr5
MSI GeForce RTX 3070 Ti SUPRIM X 8GB GDDR6X,8,GDDR6X,1158.82,https://www.pccomponentes.com/msi-geforce-rtx-3070-ti-suprim-x-8gb-gddr6x
Gigabyte GeForce RTX 3060 Ti VISION OC 8GB GDDR6 Rev 2.0,8,GDDR6,764.35,https://www.pccomponentes.com/gigabyte-geforce-rtx-3060-ti-vision-oc-8gb-gddr6-rev-20
Gigabyte AORUS GeForce GTX 1650 D6 OC 4GB GDDR6 Rev 2,4,GDDR6,264.61,https://www.pccomponentes.com/gigabyte-aorus-geforce-gtx-1650-d6-oc-4gb-gddr6-rev-2
Asus GeForce RTX 3060 Ti Dual V2 LHR 8GB GDDR6,8,GDDR6,666.46,https://www.pccomponentes.com/asus-geforce-rtx-3060-ti-dual-v2-lhr-8gb-gddr6
Biostar Radeon RX 550 Gaming 4GB GDDR5,4,GDDR5,176.28,https://www.pccomponentes.com/biostar-radeon-rx-550-gaming-4gb-gddr5
PowerColor HELLHOUND AMD Radeon RX 6600 8GB GDDR6,8,GDDR6,473.58,https://www.pccomponentes.com/powercolor-hellhound-amd-radeon-rx-6600-8gb-gddr6
MSI GT 1030 AERO ITX 2GD4 OC 2GB DDR4,2,DDR4,123.45,https://www.pccomponentes.com/msi-gt-1030-aero-itx-2gd4-oc-2gb-ddr4
Gigabyte GeForce GT 1030 2GB GDDR5 LP,2,GDDR5,120.93,https://www.pccomponentes.com/gigabyte-geforce-gt-1030-2gb-gddr5-lp
Gigabyte GeForce RTX 3080 GAMING OC 12GB GDDR6,12,GDDR6,1364.81,https://www.pccomponentes.com/gigabyte-geforce-rtx-3080-gaming-oc-12gb-gddr6
